epoch,stage,train_acc,train_loss,test_full,test_100,flops_T,time_s,sparsity,E_airplane,C_airplane,acc_airplane,E_automobile,C_automobile,acc_automobile,E_bird,C_bird,acc_bird,E_cat,C_cat,acc_cat,E_deer,C_deer,acc_deer,E_dog,C_dog,acc_dog,E_frog,C_frog,acc_frog,E_horse,C_horse,acc_horse,E_ship,C_ship,acc_ship,E_truck,C_truck,acc_truck
11,2,0.5177333333333334,1.3281613240559895,0.5372,0.562,0.01351836189491975,193.45762872695923,0.9957900983687726,1.3783945717710129,0.01656094713413969,0.62,1.032870406166036,0.11580806653550331,0.62,1.6626239814656847,0.001264120416438326,0.44,1.7044463578690874,0.0,0.34,1.6222615485495708,0.0024006833421423082,0.48,1.426959764957428,0.008863778570865063,0.5,1.2430708937188413,0.04357529536206672,0.61,1.3072710157708918,0.034561237502605355,0.71,1.169879978387914,0.05954179751112106,0.72,1.153033051148374,0.0675367070639387,0.58
12,2,0.5488,1.2475581177393595,0.5577,0.57,0.014977970150239004,212.45929789543152,0.9956458050859094,1.3040122592702825,0.02436084163949845,0.49,0.9973782612922344,0.13837854278848527,0.74,1.56349174494439,0.0040463703743954926,0.36,1.6236814732247211,8.94120398988115e-06,0.45,1.5486849614914426,0.0033901354099841827,0.26,1.424023033963873,0.01523023691583187,0.51,1.1110664625751212,0.08324116703043592,0.72,1.2423245478183664,0.04732609936531554,0.52,1.066033045535392,0.0953061319412069,0.91,1.0395861924962795,0.11681638677069481,0.74
13,2,0.5820666666666666,1.1586031320889791,0.5869,0.594,0.01654653253321762,231.16985940933228,0.9953207812263946,1.2264750900420738,0.05246757712770016,0.45,0.8371895687377199,0.22118219428874078,0.83,1.5096846075768167,0.0034650723984900943,0.54,1.5843916116876806,0.000494443102085844,0.57,1.4757647740080002,0.0038964761064407675,0.32,1.3245691393284087,0.016423596980723928,0.32,1.035509972306008,0.1255507672720767,0.83,1.1936163025967619,0.06812326083792017,0.59,0.9386115122348704,0.1698603612311343,0.86,0.9066404244367112,0.17871266698583643,0.63
14,2,0.6049333333333333,1.1032720485051473,0.5521,0.547,0.018170673937472907,250.26503491401672,0.9951549820190448,1.151004367813151,0.06502269975682523,0.72,0.7618886135360028,0.2838844802151335,0.87,1.4801614018196756,0.00430110845159977,0.48,1.5187595177204052,0.00020000858509794194,0.21,1.438504027813039,0.0062432005050334525,0.3,1.3108994281038324,0.026383874771442817,0.71,0.9945626457954975,0.12617049762543212,0.58,1.1374078377130183,0.07754629450909635,0.63,0.8338023739926359,0.2382769928333607,0.37,0.8247662090240641,0.2421266456867786,0.6
15,2,0.6279333333333333,1.044097819519043,0.5986,0.595,0.01981650368215374,268.98143672943115,0.9950902829730975,1.0917009688438253,0.09149254636561617,0.61,0.7337579435490548,0.3088308950687977,0.89,1.4033273039980139,0.010277133038703432,0.51,1.5064980461242352,0.001031709224619764,0.25,1.3746444054106448,0.01772437539506466,0.4,1.2314087019321767,0.05042474079639354,0.22,0.9197275537918222,0.17302964080838448,0.86,1.0730462024820613,0.11533614866277005,0.63,0.804930484485119,0.2509854652146076,0.83,0.7494746386370761,0.29444615783843586,0.75
16,2,0.6474666666666666,0.996367724386851,0.6162,0.601,0.021453909937473006,288.1520576477051,0.9951154113007864,1.0526217568427958,0.12173545804429561,0.49,0.6543823205172381,0.37598482715164094,0.88,1.355104004829488,0.017714791348639954,0.5,1.4542448974670248,0.0023358494677442184,0.35,1.3185617386026585,0.02442537317884729,0.46,1.2119150298707029,0.03938134274584182,0.49,0.8881514846010411,0.2019364354458261,0.67,1.000642386903154,0.14953401240896672,0.69,0.737759053659566,0.311055678810845,0.9,0.7039257822677176,0.349277246553213,0.58
17,2,0.6610666666666667,0.9549860161145528,0.6105,0.607,0.023149309511941118,311.0283908843994,0.9949424099393808,0.9862260342912471,0.14362049648102293,0.5,0.6132337826997676,0.41452857553958894,0.87,1.2963256686291795,0.027426476427849303,0.53,1.4321580217239704,0.004555531258278705,0.36,1.273198200667158,0.030071082647810592,0.43,1.1609962401237894,0.05858811279560657,0.29,0.9088050134638522,0.19319771071697803,0.84,1.0149932177142893,0.1296660138571516,0.51,0.7020077354096351,0.3314955271304922,0.95,0.6490860527183148,0.38130245979161975,0.79
18,2,0.6749333333333334,0.9258446512858073,0.6555,0.663,0.02489736368215393,330.0504729747772,0.9947853346610247,0.9991939025990506,0.14044174602691165,0.63,0.5673773616235307,0.44436402190872965,0.81,1.29142222797617,0.025670684271670404,0.49,1.378134724434386,0.005752033882952751,0.47,1.2592183135925454,0.026146039810586483,0.45,1.1393662942216751,0.0703846036119664,0.64,0.8224275815994182,0.22256102320995735,0.76,0.943473992338206,0.1663855731328751,0.66,0.6572159172531138,0.3751586250643781,0.92,0.6073931911841352,0.4086516375554369,0.8
19,2,0.6734666666666667,0.9239540092468261,0.6389,0.629,0.026650175980026298,349.54425835609436,0.9947711405680684,0.9837090759835345,0.13921265766975727,0.66,0.5518146934027367,0.4604068900042392,0.83,1.2886660639275895,0.0267311433528332,0.54,1.3845723474279363,0.005422546762101194,0.43,1.2479666155703524,0.041976485987927054,0.5,1.1034185588359833,0.07975806822168066,0.31,0.9087635919134668,0.19676400334277053,0.91,0.9443623497765115,0.16128109103821694,0.52,0.635087200365168,0.3846756905317307,0.79,0.608226772841621,0.4227836773592107,0.8
20,2,0.6991333333333334,0.8619254765192668,0.6511,0.647,0.028438266490664582,368.1963324546814,0.9946659012245365,0.8965374942155595,0.1857949433808631,0.62,0.511651045575421,0.5049224753487618,0.74,1.1874389214718595,0.048240927686082555,0.42,1.320608829691055,0.012191745829074941,0.5,1.1822841471814094,0.05186726336783551,0.49,1.073228571135947,0.09871764652272488,0.59,0.7916290513378509,0.2558150776523225,0.71,0.9203965086569177,0.18131590640925346,0.62,0.5856153367206137,0.43297835301528587,0.91,0.560440148714375,0.45938282112808937,0.87
21,3,0.69384,0.8586180964279175,0.6799,0.675,0.03003445386311359,384.91049242019653,0.9942860468920549,0.8626341475934094,0.21143810696215654,0.62,0.500513250041487,0.5185908207679357,0.87,1.18665199498741,0.059853533701020846,0.51,1.2945048839462048,0.00914890668830093,0.32,1.1508869916504743,0.0713572302947239,0.64,1.1336581846889184,0.06830204384667533,0.59,0.8238011849473934,0.23131631755707216,0.89,0.8716668095059541,0.22246219879206347,0.66,0.5634035155253143,0.4512071271560022,0.86,0.5601122329173115,0.46041096609598975,0.79
22,3,0.70328,0.8323683375549317,0.6785,0.688,0.03166268893964409,402.1031835079193,0.994171324096035,0.8743073283409586,0.2105318806609329,0.64,0.49489029114875865,0.5115754346040134,0.75,1.1604549209682309,0.07194553346050028,0.47,1.2885742147966308,0.020015528919745465,0.61,1.106317941023379,0.07906898856163025,0.63,1.1101510761951914,0.07288446049300992,0.55,0.7792443910955774,0.2621628625736553,0.78,0.8427599222608366,0.2163504607291246,0.8,0.5593747498125446,0.45451723236818703,0.76,0.5275035378076516,0.4892723865246362,0.89
23,3,0.71376,0.8113257269382477,0.6867,0.677,0.03336427580188915,419.1153950691223,0.9939087429785601,0.8487537755269785,0.22467417349772795,0.71,0.4398769157064356,0.5590339553808528,0.85,1.156995075089591,0.06298891500550874,0.69,1.231819589831391,0.028557647551809038,0.47,1.0809949587802499,0.09263744767831296,0.62,1.0753948109186426,0.10201241973103309,0.26,0.7796158584557018,0.27874863383417225,0.87,0.7998157692122825,0.2624096248907094,0.72,0.5279117847545719,0.4856035276981337,0.78,0.5005738421020155,0.5193623314440554,0.8
24,3,0.72544,0.7662417029190064,0.6915,0.684,0.034989639577399353,435.430682182312,0.9941816026383115,0.7859837732905027,0.26328202314218696,0.61,0.42019119117485015,0.5777340477750618,0.92,1.0738563837141406,0.09865256338095178,0.65,1.2053432595364901,0.02447963399546487,0.48,1.0513918048569135,0.10599386190273324,0.6,1.0442764727512792,0.09477078074551358,0.43,0.7260468658820098,0.30172811581620146,0.68,0.7754177408368916,0.29066708138478653,0.75,0.4967541065143079,0.5096371249884976,0.91,0.4731058704723813,0.5363951372742957,0.81
25,3,0.7324,0.7559086733818055,0.7034,0.711,0.036732599398828,452.5368592739105,0.9937606380926348,0.7781350320699264,0.2707276228739291,0.65,0.40445411839161294,0.6042682319138275,0.93,1.0441474974611584,0.12067758679694059,0.55,1.1975945860755688,0.029611081493144134,0.55,1.021390852727452,0.11568354237444546,0.58,1.0373390382345842,0.09519653067905076,0.66,0.7284866061669831,0.308078778527525,0.75,0.7650738102098813,0.27840711824519904,0.77,0.5000147665755785,0.5114169341455005,0.89,0.45287992427011536,0.5563898636788434,0.78
26,3,0.74064,0.7359153416633606,0.698,0.699,0.038484231796787345,468.7066686153412,0.9937295924294021,0.7623330497620057,0.27757579057800524,0.75,0.4042888937651047,0.6015871492480593,0.95,1.009858711185504,0.1240688104714666,0.59,1.1723873405432215,0.0349717769695788,0.64,0.9891709077114962,0.12164268688279756,0.5,1.013644648525788,0.1295867671011662,0.42,0.7242748845292597,0.32224349905641714,0.75,0.7492360430104392,0.29434497624027484,0.81,0.5030634065671843,0.5140286395136191,0.84,0.44565895258696103,0.5629177154516991,0.74
27,3,0.74424,0.7176563153839112,0.6686,0.662,0.04022099684780765,484.8339731693268,0.9937828138272877,0.7222535946995629,0.312279826904438,0.54,0.36708840123396747,0.6282360565525537,0.61,1.0247847199135898,0.13313367856400354,0.62,1.1383524287720115,0.04560765076656731,0.45,0.9947040351677914,0.13603401396955764,0.62,0.9849412722551093,0.13575637264519322,0.54,0.7182986340200415,0.31398518299873995,0.67,0.7369250076613865,0.31122217988785433,0.75,0.463291604119372,0.545186518586944,0.91,0.4299386129405692,0.5796545721728317,0.91
28,3,0.74768,0.7072129408264161,0.717,0.717,0.041999104118216,501.79537200927734,0.9936348189821718,0.738351672165552,0.3126142920203963,0.63,0.3854696052339004,0.6165400809247275,0.84,0.9662799815818364,0.15105840453535926,0.67,1.1448385934440457,0.051991106296072204,0.39,0.9568295133661251,0.16138124815663513,0.56,0.9746744260191917,0.13583938214851884,0.71,0.6994715781920419,0.3287931754804996,0.85,0.73424859401979,0.31462406903049167,0.77,0.48304189487517224,0.5305889520582705,0.88,0.4426389142243686,0.5587993580182748,0.87
