epoch,stage,train_acc,train_loss,test_full,test_100,flops_T,time_s,sparsity,E_airplane,C_airplane,acc_airplane,E_automobile,C_automobile,acc_automobile,E_bird,C_bird,acc_bird,E_cat,C_cat,acc_cat,E_deer,C_deer,acc_deer,E_dog,C_dog,acc_dog,E_frog,C_frog,acc_frog,E_horse,C_horse,acc_horse,E_ship,C_ship,acc_ship,E_truck,C_truck,acc_truck
11,1,0.86864,0.39649524750709536,0.7678,0.765,1.2046876894132654,162.65320491790771,0.9595025507350325,0.37365139283391896,0.6285203626113278,0.49,0.185957400234053,0.8143877757377372,0.93,0.5740765630818752,0.43876786260124373,0.88,0.7620342690877768,0.2643198224202711,0.42,0.4966567587404398,0.5128147483563373,0.68,0.5695757385799471,0.4467154832138699,0.78,0.3883976204634397,0.6148053561574874,0.85,0.3839345549765442,0.6230379483206387,0.96,0.26111230405275615,0.7391818314885759,0.84,0.26435600660209146,0.7385751758797132,0.82
12,1,0.87384,0.36858461242675783,0.7579,0.78,1.2170125428571428,178.76993942260742,0.9558800953721606,0.3368172447472735,0.6678566796258472,0.81,0.16713222863002242,0.8331999194694097,0.86,0.4914858644752174,0.5226198575288361,0.74,0.7178853010112534,0.30309093466066583,0.39,0.4521220531694743,0.5534858364535837,0.79,0.5372487562423458,0.4805315793396867,0.88,0.3531754653786822,0.6468245346213177,0.81,0.3443847500567077,0.6675620898889492,0.84,0.23270185412696506,0.7719501406025636,0.86,0.24194322865603643,0.7529547305276371,0.82
13,1,0.87272,0.37818164344787597,0.7553,0.746,1.228681668494898,194.84197068214417,0.9582274375454108,0.39321878025954476,0.6039231460047315,0.58,0.15527796289412363,0.8415759506855447,0.44,0.5087332385212031,0.521709585647878,0.88,0.7110375118042741,0.3093009237580153,0.51,0.48357665278397655,0.5303664142265916,0.81,0.5139220193294542,0.4917141964887174,0.67,0.3308372657160436,0.6694510644545294,0.81,0.3954300098216199,0.6152416483537123,0.87,0.24674363048005926,0.7571960115016495,0.93,0.29122253476014853,0.7151388202185686,0.96
14,1,0.8648,0.40287487772464753,0.7922,0.799,1.2398866400510202,211.3341429233551,0.9598889935150227,0.4372287667546497,0.5803741750649499,0.77,0.17843968573139804,0.8231224340152967,0.79,0.5038472727720379,0.49048973615186253,0.81,0.7160896776738216,0.3225426592540984,0.72,0.488230420352549,0.5207027102231371,0.84,0.5266204286504499,0.4839141887151731,0.85,0.3839018855542978,0.6200064877091197,0.78,0.37921847758472577,0.6179923297533271,0.68,0.27081533424702964,0.741878778861547,0.8,0.26886538128375687,0.740908948427223,0.95
15,1,0.9024,0.28755615044593813,0.7841,0.797,1.2497542749999997,227.91834688186646,0.9646763253750839,0.2947378225092377,0.7062751085554458,0.71,0.13828511012033398,0.861714889879666,0.8,0.3825216326121317,0.6196826827826396,0.64,0.5817210436323468,0.4368417282037589,0.72,0.3428844381884045,0.6532161201217345,0.76,0.4195556424140018,0.5830600910002783,0.81,0.2922161433772108,0.7114748517467108,0.87,0.27107129395554524,0.7289287060444547,0.94,0.18182129946499304,0.8130766597186805,0.8,0.18878592939914338,0.8069705677893468,0.92
16,2,0.8122666666666667,0.5690516667524974,0.791,0.807,1.2635047547021274,246.50206327438354,0.9589805904652035,0.6312978559827551,0.40604519306662235,0.84,0.3181359927461671,0.6918826958209742,0.68,0.7378266248762846,0.316851471793501,0.88,0.9311073359022749,0.1640397386347994,0.59,0.6558817457962544,0.37448069082295643,0.73,0.7081063995018918,0.3327595529087046,0.83,0.48861477127338343,0.5346187200357623,0.86,0.49087203236970495,0.52423414749668,0.97,0.3986444341930303,0.6079923279187147,0.72,0.4575316189174005,0.5826823423794927,0.97
17,2,0.8528666666666667,0.43375299428304037,0.7852,0.79,1.275483557723404,265.65299129486084,0.9642657247230162,0.4582406827744017,0.5453049981847723,0.85,0.2324651670359828,0.7657988027912228,0.64,0.5869958935741414,0.43922083303332327,0.7,0.7580190221838494,0.2924379902158646,0.28,0.5130929127414809,0.4968335676938295,0.79,0.6105049315087022,0.41401628086620823,0.87,0.37774870235552177,0.6348130379109941,0.94,0.41704368403458847,0.5899605800258987,0.94,0.30176732561531217,0.7028418975069802,0.91,0.3139423877525916,0.6969587579795575,0.98
18,2,0.8634666666666667,0.4002029947121938,0.8377,0.837,1.287020691297872,284.2746071815491,0.9655832802054513,0.43396024772144376,0.5708538484858706,0.76,0.2320884974004491,0.7726775346358655,0.83,0.5256727625556449,0.4838703930536483,0.8,0.7317907996317173,0.31687284647784336,0.69,0.4647048826864425,0.5399667954508295,0.89,0.5761792138932234,0.447857219448432,0.84,0.3619777533839992,0.6449770423722394,0.87,0.38831601135749766,0.6184654566281019,0.88,0.28637391454837424,0.7230163315588489,0.94,0.26539656118826666,0.7400663455274511,0.87
19,2,0.8773333333333333,0.3575886629581451,0.835,0.826,1.2988942460212765,303.3379933834076,0.9645796936264137,0.3977611548564535,0.6046599548706348,0.73,0.18367361614195069,0.8165633622874784,0.93,0.4668994619134576,0.5411104547573213,0.83,0.6636848152000854,0.36350278534153674,0.62,0.429926802677677,0.5732224449990911,0.75,0.5417459274226046,0.47317160247488227,0.7,0.3100683327367965,0.6878407033517006,0.89,0.3165123440959352,0.6814984769421689,0.93,0.25202005583238096,0.7595265737080827,0.96,0.24657149535276868,0.755174932913716,0.92
20,2,0.8886,0.3295905721028646,0.8254,0.821,1.3102312838085104,322.0237522125244,0.9661801910929646,0.3618405310476714,0.6384718079436966,0.88,0.16258068531643266,0.83963770622377,0.95,0.454705313636743,0.5598968067424411,0.67,0.6226718105692812,0.39402889753592774,0.48,0.3817666936269466,0.6201960086981033,0.73,0.4722308336142847,0.5374493726033797,0.88,0.2911990535009573,0.7092214859288899,0.91,0.2986361072735583,0.7034647256452986,0.97,0.2331617145838731,0.7693349718036963,0.87,0.20949400903340032,0.792420794999108,0.87
